date,max_temp,min_temp
2025-12-03,14.7,7.3
2025-12-04,16.0,3.5
2025-12-05,18.2,3.9
2025-12-06,18.5,4.3
2025-12-07,18.4,4.3
2025-12-08,19.9,3.9
2025-12-09,20.9,3.8
2025-12-10,15.0,5.7
